Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
12;"Universidade do Vale do Rio dos Sinos (UNISINOS)";RS;Privada;3;34.91;23;31.14;40;6.74;;;92;5.04;15;19.36
13;"Universidade Federal da Bahia (UFBA)";BA;Pública;3;34.91;24;30.76;143;3.4;;;1;8;15;19.36
14;"Universidade Federal do Rio Grande do Norte (UFRN)";RN;Pública;17;27.27;18;37.9;41;6.7;8;3.84;1;8;15;19.36
15;"Pontifícia Universidade Católica do Paraná (PUCPR)";PR;Privada;3;34.91;25;29.97;85;5.28;72;2.37;156;2.96;15;19.36
16;"Fundação Universidade Federal do Abc (UFABC)";SP;Pública;45;12;8;51.17;1;8;23;3.49;1;8;8;31.68
17;"Universidade Federal de São Carlos (UFSCAR)";SP;Pública;45;12;9;51.01;8;7.77;20;3.56;1;8;8;31.68
18;"Universidade Federal de Itajubá (UNIFEI)";MG;Pública;45;12;14;47.9;39;6.77;9;3.82;74;5.63;8;31.68
19;"Pontifícia Universidade Católica do Rio de Janeiro (PUC-RIO)";RJ;Privada;17;27.27;21;31.71;26;7.19;16;3.66;201;1.5;15;19.36
20;"Universidade Federal do Ceará (UFC)";CE;Pública;3;34.91;26;19.41;12;7.64;11;3.77;1;8;;
21;"Universidade de Brasília (UNB)";DF;Pública;45;12;15;39.07;10;7.71;1;4;1;8;15;19.36
22;"Universidade Federal de Pelotas (UFPEL)";RS;Pública;45;12;17;37.94;22;7.32;33;3.26;1;8;15;19.36
23;"Universidade Federal de Uberlândia (UFU)";MG;Pública;45;12;19;35.77;14;7.58;30;3.33;78;5.5;15;19.36
24;"Universidade Federal de Juiz de Fora (UFJF)";MG;Pública;17;27.27;27;19.21;24;7.26;3;3.95;1;8;0;0
25;"Universidade Federal de Alagoas (UFAL)";AL;Pública;17;27.27;30;19;17;7.48;22;3.52;1;8;0;0
26;"Universidade Federal do Espírito Santo (UFES)";ES;Pública;17;27.27;31;18.97;25;7.22;12;3.75;1;8;0;0
27;"Universidade Federal da Paraíba (UFPB)";PB;Pública;17;27.27;32;18.48;21;7.35;39;3.13;1;8;0;0
28;"Universidade Federal de Goiás (UFG)";GO;Pública;17;27.27;35;18.02;33;6.96;42;3.06;1;8;0;0
29;"Universidade Estadual de Maringá (UEM)";PR;Pública;3;34.91;102;10.24;179;2.24;;;1;8;;
30;"Fundação Universidade Federal do Tocantins (UFT)";TO;Pública;17;27.27;36;17.77;23;7.29;67;2.48;1;8;;
31;"Fundação Universidade do Estado de Santa Catarina (UDESC)";SC;Pública;45;12;22;31.66;46;6.54;18;3.61;181;2.15;15;19.36
32;"Universidade Federal de Mato Grosso (UFMT)";MT;Pública;17;27.27;44;16.03;87;5.22;53;2.81;1;8;;
33;"Universidade Federal do Pará (UFPA)";PA;Pública;17;27.27;47;15.6;98;4.86;56;2.74;1;8;0;0
34;"Universidade Fumec (FUMEC)";MG;Privada;3;34.91;148;7.95;142;3.43;96;1.82;164;2.7;;
35;"Universidade de Fortaleza (UNIFOR)";CE;Privada;3;34.91;154;7.64;124;4.02;64;2.55;214;1.07;0;0
36;"Universidade Federal de Mato Grosso do Sul (UFMS)";MS;Pública;17;27.27;57;14.43;56;6.22;36;3.2;93;5.01;0;0
37;"Universidade de Caxias do Sul (UCS)";RS;Privada;17;27.27;68;12.91;51;6.38;28;3.38;150;3.15;;
38;"Centro Universitário de Maringá (UNICESUMAR)";PR;Privada;17;27.27;69;12.86;82;5.38;70;2.41;91;5.07;0;0
39;"Universidade de Taubaté (UNITAU)";SP;Pública;17;27.27;92;10.84;94;4.99;143;0.74;90;5.11;;
40;"Universidade Luterana do Brasil (ULBRA)";RS;Privada;17;27.27;93;10.81;135;3.66;55;2.76;112;4.39;;
41;"Universidade Federal de Ouro Preto (UFOP)";MG;Pública;0;0;16;37.96;28;7.13;24;3.47;1;8;15;19.36
42;"Universidade Tiradentes (UNIT)";SE;Privada;17;27.27;100;10.39;81;5.41;93;1.89;152;3.09;;
43;"Centro Universitário Una (UNA)";MG;Privada;17;27.27;108;9.84;100;4.79;60;2.64;173;2.41;;
44;"Universidade Federal do Amazonas (UFAM)";AM;Pública;17;27.27;110;9.81;212;1.17;147;0.64;1;8;;
45;"Universidade Católica de Pernambuco (UNICAP)";PE;Privada;17;27.27;116;9.5;54;6.28;107;1.56;196;1.66;0;0
46;"Universidade Estácio de Sá (UNESA)";RJ;Privada;17;27.27;126;8.95;111;4.44;120;1.26;147;3.25;;
47;"Centro Universitário Newton Paiva (NEWTON PAIVA)";MG;Privada;17;27.27;139;8.32;159;2.88;66;2.51;157;2.93;;
48;"Universidade Salvador (UNIFACS)";BA;Privada;17;27.27;144;8.14;144;3.37;31;3.31;202;1.46;;
49;"Pontifícia Universidade Católica de Campinas (PUC-CAMPINAS)";SP;Privada;17;27.27;151;7.86;70;5.77;104;1.63;233;0.46;0;0
50;"Centro Universitário La Salle (UNILASALLE)";RS;Privada;17;27.27;158;7.44;91;5.09;94;1.86;232;0.49;;
51;"Centro Universitário Maurício de Nassau (UNINASSAU)";PE;Privada;17;27.27;178;6.64;158;2.92;139;0.83;158;2.89;;
52;"Universidade da Região de Joinville (UNIVILLE)";SC;Pública;0;0;20;33.49;71;5.73;50;2.87;77;5.53;15;19.36
53;"Pontifícia Universidade Católica de Goiás (PUC GOIÁS)";GO;Privada;17;27.27;214;4.73;166;2.66;129;1.06;216;1.01;;
54;"Universidade Federal de Lavras (UFLA)";MG;Pública;45;12;28;19.13;6;7.84;32;3.29;1;8;0;0
